trial,hidden_dim,num_layers,aggr,best_epoch,val_mse,val_rmse,test_mse,test_rmse
0,100,1,SoftmaxAggregation(learn=True),90,0.18555593490600586,0.43076203976906535,0.20165041089057922,0.4490550198924172
1,100,1,MeanAggregation(),52,0.20701542496681213,0.45498947786384264,0.21314191818237305,0.4616729558706824
2,100,1,SumAggregation(),92,0.18811780214309692,0.4337254916915732,0.20856043696403503,0.45668417638892966
3,100,2,SoftmaxAggregation(learn=True),74,0.19370363652706146,0.4401177530241895,0.18443357944488525,0.4294573080585371
4,100,2,MeanAggregation(),88,0.19347724318504333,0.4398604814995811,0.1838093101978302,0.4287298802251019
5,100,2,SumAggregation(),61,0.1783858984708786,0.42235754814005466,0.1935632824897766,0.4399582735780481
6,100,3,SoftmaxAggregation(learn=True),55,0.18597258627414703,0.4312453898584274,0.18162578344345093,0.42617576590351886
7,100,3,MeanAggregation(),113,0.18007105588912964,0.42434780061775934,0.1872696429491043,0.43274662673336267
8,100,3,SumAggregation(),35,0.17879731953144073,0.4228443206801301,0.1878126561641693,0.43337357575672436
9,100,4,SoftmaxAggregation(learn=True),74,0.18576014041900635,0.43099900280511827,0.19368551671504974,0.44009716735631205
10,100,4,MeanAggregation(),45,0.1914582997560501,0.4375594813920161,0.19023360311985016,0.4361577731966383
11,100,4,SumAggregation(),74,0.18056517839431763,0.42492961581221617,0.1935761421918869,0.43997288801912204
12,150,1,SoftmaxAggregation(learn=True),81,0.19254598021507263,0.4388006155591314,0.20711876451969147,0.45510302626953764
13,150,1,MeanAggregation(),102,0.19421854615211487,0.44070233281900706,0.20636078715324402,0.45426950938098853
14,150,1,SumAggregation(),65,0.17486613988876343,0.4181699892253908,0.1818447858095169,0.4264326275151995
15,150,2,SoftmaxAggregation(learn=True),69,0.18746185302734375,0.43296865132171375,0.1839061826467514,0.4288428414311604
16,150,2,MeanAggregation(),107,0.18805986642837524,0.4336586980891485,0.18705108761787415,0.4324940318870009
17,150,2,SumAggregation(),57,0.18794502317905426,0.4335262658467815,0.1988828033208847,0.44596278243916804
18,150,3,SoftmaxAggregation(learn=True),72,0.1857912242412567,0.4310350614987796,0.18775412440299988,0.43330604011829776
19,150,3,MeanAggregation(),63,0.1857684999704361,0.4310087005739398,0.18278278410434723,0.4275310329138076
20,150,3,SumAggregation(),70,0.19206057488918304,0.4382471618723652,0.19143618643283844,0.43753421172845264
21,150,4,SoftmaxAggregation(learn=True),83,0.1835227608680725,0.4283955658828328,0.18538270890712738,0.4305609235719463
22,150,4,MeanAggregation(),44,0.19493094086647034,0.44150984232117674,0.18273404240608215,0.4274740254168458
23,150,4,SumAggregation(),91,0.17412056028842926,0.41727755785379744,0.196183443069458,0.44292600179878583
24,200,1,SoftmaxAggregation(learn=True),50,0.19922487437725067,0.4463461374059942,0.20560215413570404,0.45343373731528186
25,200,1,MeanAggregation(),84,0.1917787343263626,0.4379254894686568,0.19190265238285065,0.43806694965821225
26,200,1,SumAggregation(),42,0.19308294355869293,0.4394120430287419,0.19699262082576752,0.4438385075968144
27,200,2,SoftmaxAggregation(learn=True),49,0.18675784766674042,0.4321548885142229,0.18531133234500885,0.43047802771454996
28,200,2,MeanAggregation(),76,0.1977234035730362,0.44466099848427926,0.20484042167663574,0.4525929978210398
29,200,2,SumAggregation(),68,0.18545912206172943,0.43064965118031784,0.19507406651973724,0.4416718991737387
30,200,3,SoftmaxAggregation(learn=True),83,0.18094554543495178,0.42537694511450874,0.19008561968803406,0.43598809581000497
31,200,3,MeanAggregation(),34,0.20566125214099884,0.453498899823361,0.19982877373695374,0.4470221177268008
32,200,3,SumAggregation(),38,0.18805396556854248,0.4336518944597642,0.19230742752552032,0.4385287077552852
33,200,4,SoftmaxAggregation(learn=True),67,0.18143419921398163,0.425950935219048,0.176522359251976,0.42014564052477804
34,200,4,MeanAggregation(),113,0.18303047120571136,0.42782060633601016,0.19230209290981293,0.43852262531118386
35,200,4,SumAggregation(),42,0.20307248830795288,0.45063564917564264,0.2002299726009369,0.4474706388143661
36,250,1,SoftmaxAggregation(learn=True),48,0.19447793066501617,0.4409965200146325,0.20555758476257324,0.45338458813966453
37,250,1,MeanAggregation(),52,0.1974785029888153,0.4443855341804178,0.18967121839523315,0.43551259269421033
38,250,1,SumAggregation(),46,0.1961805373430252,0.44292272163778773,0.20089565217494965,0.4482138464783854
39,250,2,SoftmaxAggregation(learn=True),64,0.1909599006175995,0.43698958868329973,0.1789001226425171,0.4229658646303707
40,250,2,MeanAggregation(),68,0.18675948679447174,0.4321567849686867,0.18050338327884674,0.4248568974123484
41,250,2,SumAggregation(),37,0.19368809461593628,0.4401000961326142,0.19481711089611053,0.44138091360650217
42,250,3,SoftmaxAggregation(learn=True),74,0.18505597114562988,0.4301813235667372,0.1996440589427948,0.4468154640819796
43,250,3,MeanAggregation(),73,0.17668943107128143,0.42034441957908925,0.16999214887619019,0.41230104156573527
44,250,3,SumAggregation(),67,0.18554915487766266,0.43075416989004606,0.18904700875282288,0.4347953642264633
45,250,4,SoftmaxAggregation(learn=True),70,0.18189287185668945,0.4264890055519479,0.19805029034614563,0.44502841521204645
46,250,4,MeanAggregation(),83,0.1755412071943283,0.4189763802344093,0.1846669465303421,0.4297289221478374
47,250,4,SumAggregation(),32,0.20344354212284088,0.45104716175012216,0.20975595712661743,0.45799121948637556
48,300,1,SoftmaxAggregation(learn=True),65,0.1863180547952652,0.431645751508416,0.1867501437664032,0.43214597506676283
49,300,1,MeanAggregation(),95,0.1926802545785904,0.4389535904609853,0.1957598179578781,0.44244753130498776
50,300,1,SumAggregation(),48,0.1918235868215561,0.4379766966649665,0.18124112486839294,0.4257242357070982
51,300,2,SoftmaxAggregation(learn=True),84,0.18095138669013977,0.4253838110343878,0.18490417301654816,0.43000485231744556
52,300,2,MeanAggregation(),83,0.18302716314792633,0.4278167401445698,0.17921026051044464,0.42333232868568477
53,300,2,SumAggregation(),47,0.1757713407278061,0.419250928118002,0.1887267678976059,0.43442694195641907
54,300,3,SoftmaxAggregation(learn=True),77,0.17997708916664124,0.42423706717664506,0.18481867015361786,0.4299054200095852
55,300,3,MeanAggregation(),81,0.1666574627161026,0.4082370178169817,0.19431594014167786,0.4408128175787064
56,300,3,SumAggregation(),64,0.17966194450855255,0.4238654792602867,0.18778963387012482,0.4333470132239575
57,300,4,SoftmaxAggregation(learn=True),41,0.20095054805278778,0.4482750807849883,0.18909408152103424,0.4348494929524861
58,300,4,MeanAggregation(),79,0.17344391345977783,0.41646598115545747,0.19084419310092926,0.43685717700517324
59,300,4,SumAggregation(),59,0.1939486712217331,0.4403960390622662,0.19847817718982697,0.44550889686944184
0,350,1,SoftmaxAggregation(learn=True),73,0.19339491426944733,0.43976688628118343,0.1902530938386917,0.4361801162807536
1,350,1,MeanAggregation(),82,0.1908998191356659,0.436920838523028,0.20477555692195892,0.45252133311254944
2,350,1,SumAggregation(),86,0.18721768260002136,0.4326865870350286,0.206957146525383,0.454925429631476
3,350,2,SoftmaxAggregation(learn=True),61,0.18547752499580383,0.4306710171300175,0.1739550083875656,0.4170791392380655
4,350,2,MeanAggregation(),68,0.1810157746076584,0.42545948644689824,0.18956997990608215,0.43539634806240873
5,350,2,SumAggregation(),62,0.18382856249809265,0.42875233235294785,0.20455558598041534,0.4522782174507361
6,350,3,SoftmaxAggregation(learn=True),45,0.18636098504066467,0.4316954772066354,0.18211540579795837,0.4267498164006147
7,350,3,MeanAggregation(),53,0.18940600752830505,0.43520800489915745,0.18079009652137756,0.4251941868386462
8,350,3,SumAggregation(),77,0.18808326125144958,0.43368567102389904,0.18925140798091888,0.4350303529420894
9,350,4,SoftmaxAggregation(learn=True),63,0.18067620694637299,0.4250602391971907,0.16952280700206757,0.41173147438842655
10,350,4,MeanAggregation(),54,0.19222523272037506,0.43843498117779683,0.1893596649169922,0.4351547597315146
11,350,4,SumAggregation(),154,0.24584630131721497,0.4958289032692779,0.2570076584815979,0.5069592276323589
